quote_date,description,p_mean,p25,p_median,p75,iqr,ratio between upper and lower quartile,indexed
2003-02-31,DRAUGHT BITTER (PER PINT),1.951373,1.8,1.98,2.15,0.35,1.194444444,100
31/03/2003,DRAUGHT BITTER (PER PINT),1.967465,1.8,2,2.15,0.35,1.194444444,100
31/05/2003,DRAUGHT BITTER (PER PINT),1.984826,1.81,2,2.19,0.38,1.209944751,101.2977001
31/07/2003,DRAUGHT BITTER (PER PINT),1.982743,1.8,2,2.2,0.4,1.222222222,102.3255814
31/08/2003,DRAUGHT BITTER (PER PINT),1.987276,1.8,2,2.2,0.4,1.222222222,102.3255814
31/10/2003,DRAUGHT BITTER (PER PINT),1.992524,1.81,2,2.2,0.39,1.215469613,101.7602467
31/12/2003,DRAUGHT BITTER (PER PINT),1.999924,1.82,2,2.2,0.38,1.208791209,101.2011245
31/01/2004,DRAUGHT BITTER (PER PINT),2.002602,1.82,2,2.2,0.38,1.208791209,101.2011245
31/03/2004,DRAUGHT BITTER (PER PINT),2.029489,1.86,2.05,2.2,0.34,1.182795699,99.02475619
31/05/2004,DRAUGHT BITTER (PER PINT),2.047821,1.86,2.05,2.25,0.39,1.209677419,101.2753188
31/07/2004,DRAUGHT BITTER (PER PINT),2.051169,1.88,2.05,2.25,0.37,1.196808511,100.1979218
31/08/2004,DRAUGHT BITTER (PER PINT),2.053052,1.88,2.05,2.25,0.37,1.196808511,100.1979218
31/10/2004,DRAUGHT BITTER (PER PINT),2.054781,1.88,2.06,2.25,0.37,1.196808511,100.1979218
31/12/2004,DRAUGHT BITTER (PER PINT),2.057233,1.86,2.065,2.3,0.44,1.23655914,103.5258815
31/01/2005,DRAUGHT BITTER (PER PINT),2.06179,1.88,2.1,2.3,0.42,1.223404255,102.4245423
31/03/2005,DRAUGHT BITTER (PER PINT),2.08685,1.9,2.1,2.3,0.4,1.210526316,101.3463892
31/05/2005,DRAUGHT BITTER (PER PINT),2.081354,1.9,2.1,2.3,0.4,1.210526316,101.3463892
31/07/2005,DRAUGHT BITTER (PER PINT),2.127752,1.95,2.15,2.3,0.35,1.179487179,98.74776386
31/08/2005,DRAUGHT BITTER (PER PINT),2.127356,1.92,2.135,2.3,0.38,1.197916667,100.2906977
31/10/2005,DRAUGHT BITTER (PER PINT),2.134198,1.95,2.15,2.35,0.4,1.205128205,100.8944544
31/12/2005,DRAUGHT BITTER (PER PINT),2.138472,1.95,2.15,2.35,0.4,1.205128205,100.8944544
31/01/2006,DRAUGHT BITTER (PER PINT),2.136775,1.95,2.15,2.35,0.4,1.205128205,100.8944544
31/03/2006,DRAUGHT BITTER (PER PINT),2.171824,1.995,2.2,2.4,0.41,1.203007519,100.7169086
31/05/2006,DRAUGHT BITTER (PER PINT),2.204342,2,2.2,2.4,0.4,1.2,100.4651163
31/07/2006,DRAUGHT BITTER (PER PINT),2.214971,2,2.2,2.45,0.45,1.225,102.5581395
31/08/2006,DRAUGHT BITTER (PER PINT),2.212031,2,2.2,2.4,0.4,1.2,100.4651163
31/10/2006,DRAUGHT BITTER (PER PINT),2.222027,2.02,2.2,2.45,0.43,1.212871287,101.5427124
31/12/2006,DRAUGHT BITTER (PER PINT),2.232395,2.03,2.25,2.45,0.42,1.206896552,101.042502
31/01/2007,DRAUGHT BITTER (PER PINT),2.221074,2.03,2.25,2.45,0.42,1.206896552,101.042502
31/03/2007,DRAUGHT BITTER (PER PINT),2.255039,2.05,2.3,2.5,0.45,1.219512195,102.0986954
31/05/2007,DRAUGHT BITTER (PER PINT),2.275781,2.095,2.3,2.5,0.41,1.193317422,99.90564467
31/07/2007,DRAUGHT BITTER (PER PINT),2.301219,2.1,2.3,2.5,0.4,1.19047619,99.66777409
31/08/2007,DRAUGHT BITTER (PER PINT),2.296692,2.1,2.3,2.5,0.4,1.19047619,99.66777409
31/10/2007,DRAUGHT BITTER (PER PINT),2.299942,2.1,2.34,2.5,0.4,1.19047619,99.66777409
31/12/2007,DRAUGHT BITTER (PER PINT),2.301612,2.1,2.35,2.55,0.45,1.214285714,101.6611296
31/01/2008,DRAUGHT BITTER (PER PINT),2.292027,2.1,2.35,2.55,0.45,1.214285714,101.6611296
31/03/2008,DRAUGHT BITTER (PER PINT),2.342196,2.15,2.4,2.6,0.45,1.209302326,101.2439156
31/05/2008,DRAUGHT BITTER (PER PINT),2.397718,2.15,2.405,2.7,0.55,1.255813953,105.1379124
31/07/2008,DRAUGHT BITTER (PER PINT),2.403126,2.15,2.45,2.7,0.55,1.255813953,105.1379124
31/08/2008,DRAUGHT BITTER (PER PINT),2.400275,2.17,2.45,2.7,0.53,1.244239631,104.1688994
31/10/2008,DRAUGHT BITTER (PER PINT),2.39666,2.15,2.43,2.7,0.55,1.255813953,105.1379124
31/12/2008,DRAUGHT BITTER (PER PINT),2.407071,2.15,2.45,2.7,0.55,1.255813953,105.1379124
31/01/2009,DRAUGHT BITTER (PER PINT),2.403895,2.15,2.45,2.7,0.55,1.255813953,105.1379124
31/03/2009,DRAUGHT BITTER (PER PINT),2.435965,2.2,2.5,2.75,0.55,1.25,104.6511628
31/05/2009,DRAUGHT BITTER (PER PINT),2.462573,2.2,2.5,2.8,0.6,1.272727273,106.5539112
31/07/2009,DRAUGHT BITTER (PER PINT),2.466313,2.2,2.5,2.8,0.6,1.272727273,106.5539112
31/08/2009,DRAUGHT BITTER (PER PINT),2.467845,2.2,2.5,2.8,0.6,1.272727273,106.5539112
31/10/2009,DRAUGHT BITTER (PER PINT),2.471495,2.2,2.5,2.8,0.6,1.272727273,106.5539112
31/12/2009,DRAUGHT BITTER (PER PINT),2.476544,2.2,2.5,2.8,0.6,1.272727273,106.5539112
31/01/2010,DRAUGHT BITTER (PER PINT),2.486563,2.2,2.5,2.8,0.6,1.272727273,106.5539112
31/03/2010,DRAUGHT BITTER (PER PINT),2.539705,2.25,2.6,2.85,0.6,1.266666667,106.0465116
31/05/2010,DRAUGHT BITTER (PER PINT),2.573471,2.3,2.6,2.9,0.6,1.260869565,105.5611729
31/07/2010,DRAUGHT BITTER (PER PINT),2.574951,2.3,2.6,2.9,0.6,1.260869565,105.5611729
31/08/2010,DRAUGHT BITTER (PER PINT),2.575667,2.3,2.615,2.9,0.6,1.260869565,105.5611729
31/10/2010,DRAUGHT BITTER (PER PINT),2.567688,2.3,2.6,2.9,0.6,1.260869565,105.5611729
31/12/2010,DRAUGHT BITTER (PER PINT),2.594218,2.3,2.64,2.95,0.65,1.282608696,107.3811931
31/01/2011,DRAUGHT BITTER (PER PINT),2.637214,2.3,2.65,2.95,0.65,1.282608696,107.3811931
