Relationship Measure,Correlation,Rank
% living in each national deprivation quintile,-0.225492524,255
% of 5 year olds with experience of visually obvious dental decay,0.06921491,194
% of adults (aged 18+) classified as obese,0.840766812,1
% of adults cycling for travel at least three days per week,-0.45254072,305
% of adults walking for travel at least three days per week,-0.540896656,314
% of all Deaths,-0.08120108,235
% of cancers diagnosed at stages 1 and 2,-0.443424115,300
% of deaths that occur at home,0.091452615,185
% of deaths that occur in care homes,-0.052723675,231
% of deaths that occur in hospice,-0.169495611,248
% of deaths that occur in hospital,0.133056915,175
% of deaths that occur in other places,-0.198831484,251
% of deaths with underlying cause Cancer,-0.03244494,226
% of deaths with underlying cause circulatory disease,0.085238961,187
% of deaths with underlying cause respiratory disease,0.123270423,178
% of people in employment,-0.187648159,250
% of people who reported having a limiting long term illness or disability,0.574231383,12
% of physically active adults,-0.433175294,294
% of physically active children and young people,-0.048824613,230
% of physically inactive adults,0.410812901,58
% of population whose ethnic group is not white,-0.386144315,281
% of population whose ethnicity is not White UK,-0.477841515,309
% of the total resident population aged 85 and over,0.053879771,199
% of the total resident population who are 0 to 15 years of age,0.046268445,204
% of the total resident population who are 0 to 4 years of age,0.019918377,206
% of the total resident population who are 16 to 24 years of age,-0.134776782,242
% of the total resident population who are 25 to 64 years of age,-0.299899078,269
% of the total resident population who are 5 to 15 years of age,0.061228811,195
% of the total resident population who are 50 to 64 years of age,0.267958986,121
% of the total resident population who are 65 and over,0.222026445,141
% people living in 20% most deprived areas in England,0.218581345,143
% physically active for at least one hour per day seven days a week at age 15,0.24561618,133
% receiving long term support for learning disability in paid employment,-0.103698578,236
% reporting a long term MSK problem who also report depression or anxiety,0.141036778,172
% reporting a long-term Musculoskeletal (MSK) problem,0.59643044,10
"% reporting at least two long-term conditions, at least one of which is MSK related",0.598698569,9
% reporting depression or anxiety,0.382925547,78
% with a mean daily sedentary time in the last week over 7 hours per day at age 15,0.553287236,17
% with long term health condition in employment,-0.199613449,252
A&E admissions for Chronic Obstructive Pulmonary Disease (COPD),0.401928309,71
A&E admissions for hip fracture in 65+ yrs ,0.519687595,23
Access to Healthy Assets & Hazards Index,-0.436447538,297
"Acute hepatitis B incidence rateper100,000",-0.118203667,238
"Acute Lyme disease laboratory confirmed incidence rate per 100,000",-0.346819563,275
Adjusted antibiotic prescribing in primary care by the NHS,0.565124762,14
Admission episodes for alcohol-specific conditions,0.158722195,165
Admission episodes for alcohol-specific conditions - Under 18s,0.144188426,169
Admission for exposure to alcohol (Narrow),0.407932402,61
Admissions  for alcohol-related conditions (Broad),0.310446569,109
Admissions for alcohol-related cardiovascular disease (Broad),0.322013967,103
Admissions for alcohol-related conditions (<40 yrs) (Narrow),0.402538917,69
Admissions for alcohol-related conditions (40-64 yrs) (Narrow),0.443211867,47
Admissions for alcohol-related conditions (65+yrs) (Narrow),0.296472731,115
Admissions for alcohol-related conditions (Narrow),0.455076794,42
Admissions for alcohol-related injuries (Narrow),0.231610915,136
Admissions for alcoholic liver disease (Broad),0.25590436,129
Admissions for mental and behavioural disorders due to alcohol use (Broad),0.100105957,184
Admissions for mental and behavioural disorders due to alcohol use (Narrow),0.235157778,135
Affordability of home ownership,-0.704945276,317
Air pollution: fine particulate matter (historic indicator),-0.407104676,284
Air pollution: fine particulate matter (new method - concentrations of total PM2.5),-0.422163923,291
Alcohol-related mortality,0.43050318,52
Alcohol-specific mortality,0.332494837,101
"All new STI diagnoses rate per 100,000",-0.40314281,283
Antiretroviral therapy (ART) coverage in people accessing HIV care,0.130396167,176
Average Attainment 8 Score among children eligible for Free School Meals (FSM),-0.452207575,303
Average weekly earnings,-0.584214557,315
Babys first feed breastmilk,-0.729099575,318
Back pain prevalence in people of all ages,0.471448027,35
"Campylobacter incidence rate per 100,000",0.160100378,164
Cancer screening coverage: bowel cancer,0.076673326,189
Care home beds per 100 people 75+,0.227414856,138
CHD: QOF prevalence (all ages),0.507007198,26
"Child Poverty, Income deprivation affecting children index (IDACI)",0.308773913,110
Children in absolute low income families (under 16s),0.383119732,77
Children in low income families (all dependent children under 20),0.170480852,161
Children in low income families (under 16s),0.206383903,150
Children in relative low income families (under 16s),0.406277769,62
Children killed and seriously injured (KSI) on Englands roads,0.436707613,49
Children providing unpaid care (aged 0-15),0.297880827,114
"Chlamydia diagnostic rate per 100,000",-0.278726727,262
"Chlamydia diagnostic rate per 100,000 aged 25 years and older",-0.412717989,288
Chlamydia proportion aged 15-24 screened,-0.295964218,267
Cost per capita of smoking attributable hospital admissions,0.403904963,67
Crime deprivation: score,-0.005955488,216
"Cryptosporidium incidence rate per 100,000",0.112841471,181
