Relationship Measure,R2,Correlation
1,0.532,-0.729
2,0.497,-0.705
3,0.395,-0.629
4,0.341,-0.584
5,0.293,-0.541
6,0.291,-0.539
7,0.267,-0.516
8,0.266,-0.516
9,0.23,-0.479
10,0.228,-0.478
11,0.214,-0.462
12,0.212,-0.461
13,0.205,-0.453
14,0.205,-0.453
15,0.205,-0.452
16,0.204,-0.452
17,0.2,-0.447
18,0.197,-0.444
19,0.197,-0.443
20,0.196,-0.443
21,0.192,-0.438
22,0.19,-0.436
23,0.189,-0.435
24,0.189,-0.435
25,0.188,-0.433
26,0.184,-0.429
27,0.181,-0.425
28,0.178,-0.422
29,0.178,-0.421
30,0.176,-0.42
31,0.17,-0.413
32,0.169,-0.411
33,0.169,-0.411
34,0.168,-0.41
35,0.166,-0.407
36,0.163,-0.403
37,0.153,-0.391
38,0.149,-0.386
39,0.144,-0.379
40,0.143,-0.378
41,0.139,-0.373
42,0.125,-0.353
43,0.122,-0.35
44,0.12,-0.347
45,0.114,-0.338
46,0.104,-0.322
47,0.1,-0.316
48,0.098,-0.313
49,0.094,-0.307
50,0.09,-0.3
51,0.088,-0.296
52,0.088,-0.296
53,0.087,-0.295
54,0.084,-0.29
55,0.084,-0.289
56,0.079,-0.281
57,0.078,-0.279
58,0.065,-0.255
59,0.065,-0.255
60,0.06,-0.245
61,0.057,-0.239
62,0.054,-0.232
63,0.053,-0.231
64,0.051,-0.225
65,0.047,-0.218
66,0.043,-0.207
67,0.04,-0.2
68,0.04,-0.199
69,0.035,-0.188
70,0.032,-0.18
71,0.029,-0.169
72,0.026,-0.161
73,0.026,-0.16
74,0.025,-0.159
75,0.024,-0.156
76,0.021,-0.144
77,0.018,-0.135
78,0.017,-0.131
79,0.016,-0.128
80,0.015,-0.122
81,0.014,-0.118
82,0.014,-0.116
83,0.012,-0.111
84,0.011,-0.104
85,0.011,-0.104
86,0.007,-0.081
87,0.006,-0.074
88,0.005,-0.072
89,0.004,-0.066
90,0.003,-0.053
91,0.002,-0.049
92,0.002,-0.047
93,0.002,-0.04
94,0.001,-0.035
95,0.001,-0.032
96,0.001,-0.032
97,0.001,-0.028
98,0.001,-0.026
99,0.001,-0.023
100,0,-0.021
101,0,-0.016
102,0,-0.014
103,0,-0.012
104,0,-0.009
105,0,-0.006
106,0,-0.006
107,0,-0.005
108,0,-0.005
109,0,0
110,0,0.004
111,0,0.007
112,0,0.008
113,0,0.009
114,0,0.014
115,0,0.02
116,0.001,0.035
117,0.002,0.046
118,0.002,0.048
119,0.003,0.051
120,0.003,0.052
121,0.003,0.053
122,0.003,0.054
123,0.003,0.055
124,0.003,0.057
125,0.004,0.061
126,0.004,0.061
127,0.005,0.069
128,0.005,0.072
129,0.005,0.073
130,0.005,0.073
131,0.006,0.075
132,0.006,0.077
133,0.007,0.082
134,0.007,0.085
135,0.008,0.089
136,0.008,0.091
137,0.01,0.1
138,0.011,0.105
139,0.013,0.112
140,0.013,0.113
141,0.014,0.119
142,0.014,0.12
143,0.015,0.123
144,0.017,0.129
145,0.017,0.13
146,0.018,0.133
147,0.018,0.133
148,0.018,0.133
149,0.02,0.141
150,0.02,0.141
151,0.02,0.142
152,0.02,0.142
153,0.021,0.144
154,0.022,0.147
155,0.024,0.156
156,0.025,0.158
157,0.025,0.159
158,0.026,0.16
159,0.028,0.166
160,0.029,0.17
161,0.029,0.17
162,0.033,0.182
163,0.033,0.183
164,0.033,0.183
165,0.034,0.183
166,0.036,0.19
167,0.037,0.191
168,0.037,0.194
169,0.038,0.195
170,0.038,0.196
171,0.04,0.199
172,0.043,0.206
173,0.044,0.209
174,0.045,0.211
175,0.045,0.212
176,0.045,0.213
177,0.046,0.215
178,0.047,0.216
179,0.048,0.219
180,0.049,0.221
181,0.049,0.222
182,0.049,0.222
183,0.051,0.226
184,0.052,0.227
185,0.052,0.228
186,0.054,0.232
187,0.055,0.235
188,0.057,0.239
189,0.06,0.245
190,0.06,0.246
191,0.061,0.246
192,0.062,0.248
193,0.064,0.254
194,0.065,0.256
195,0.066,0.257
196,0.067,0.26
197,0.068,0.261
198,0.068,0.261
199,0.068,0.261
200,0.071,0.266
201,0.071,0.267
202,0.072,0.268
203,0.073,0.27
204,0.075,0.273
205,0.078,0.279
206,0.085,0.292
207,0.086,0.294
208,0.088,0.296
209,0.089,0.298
210,0.089,0.298
211,0.092,0.304
212,0.095,0.308
213,0.095,0.309
214,0.096,0.31
215,0.097,0.311
216,0.098,0.312
217,0.099,0.314
218,0.102,0.319
219,0.102,0.32
220,0.104,0.322
221,0.105,0.323
222,0.111,0.332
223,0.111,0.333
224,0.113,0.337
225,0.113,0.337
226,0.115,0.34
227,0.116,0.341
228,0.12,0.346
229,0.121,0.347
230,0.124,0.353
231,0.126,0.355
232,0.127,0.357
233,0.128,0.357
234,0.13,0.36
235,0.13,0.361
236,0.131,0.362
237,0.132,0.364
238,0.134,0.366
239,0.136,0.369
240,0.138,0.372
241,0.141,0.375
242,0.141,0.376
243,0.144,0.38
244,0.147,0.383
245,0.147,0.383
246,0.147,0.383
247,0.147,0.384
248,0.148,0.384
249,0.151,0.389
250,0.153,0.392
251,0.155,0.393
252,0.162,0.402
253,0.162,0.403
254,0.162,0.403
255,0.163,0.404
256,0.163,0.404
257,0.163,0.404
258,0.163,0.404
259,0.164,0.405
260,0.165,0.406
261,0.166,0.408
262,0.167,0.408
263,0.167,0.408
264,0.167,0.409
265,0.169,0.411
266,0.171,0.413
267,0.172,0.415
268,0.173,0.416
269,0.177,0.421
270,0.185,0.431
271,0.185,0.431
272,0.186,0.431
273,0.189,0.435
274,0.191,0.437
275,0.195,0.442
276,0.196,0.443
277,0.197,0.443
278,0.198,0.445
279,0.202,0.45
280,0.203,0.45
281,0.207,0.455
282,0.208,0.457
283,0.21,0.458
284,0.214,0.462
285,0.216,0.465
286,0.22,0.469
287,0.221,0.47
288,0.222,0.471
289,0.224,0.474
290,0.225,0.475
291,0.229,0.479
292,0.23,0.479
293,0.235,0.484
294,0.241,0.491
295,0.242,0.492
296,0.248,0.498
297,0.257,0.507
298,0.261,0.511
299,0.265,0.514
300,0.27,0.52
301,0.272,0.521
302,0.272,0.521
303,0.277,0.527
304,0.288,0.537
305,0.294,0.542
306,0.306,0.553
307,0.308,0.555
308,0.315,0.561
309,0.319,0.565
310,0.323,0.568
311,0.33,0.574
312,0.353,0.594
313,0.356,0.596
314,0.358,0.599
315,0.377,0.614
316,0.383,0.619
317,0.404,0.636
318,0.409,0.64
319,0.42,0.648
320,0.44,0.663
321,0.491,0.701
322,0.707,0.841
