Date,GRA Purchases,PRGT 1/2/,Total,Year,Month,,Day,Date Final,Totals,GDP $USbn,Date Final,Credit as percentage of GDP
12/31/2021,89474552025,14554823681,1.04E+11,2021,12,31/2021,31,2021-12-31,104.0293757,96100.091,2021,0.11%
12/31/2020,93408630285,12481816684,1.06E+11,2020,12,31/2020,31,2020-12-31,105.890447,84906.81419,2020,0.12%
12/31/2019,66945509865,6590835450,73536345315,2019,12,31/2019,31,2019-12-31,73.53634532,87652.86322,2019,0.08%
12/31/2018,55395611392,6426181029,61821792421,2018,12,31/2018,31,2018-12-31,61.82179242,86413.03278,2018,0.07%
12/31/2017,39585385873,6522280669,46107666542,2017,12,31/2017,31,2017-12-31,46.10766654,81403.97743,2017,0.06%
12/31/2016,49267630851,6482647937,55750278788,2016,12,31/2016,31,2016-12-31,55.75027879,76465.59001,2016,0.07%
12/31/2015,50757840741,6575911158,57333751899,2015,12,31/2015,31,2015-12-31,57.3337519,75179.26627,2015,0.08%
12/31/2014,69041563463,6292755583,75334319046,2014,12,31/2014,31,2014-12-31,75.33431905,79708.81224,2014,0.09%
12/31/2013,83899249061,6174392682,90073641743,2013,12,31/2013,31,2013-12-31,90.07364174,77607.19847,2013,0.12%
12/31/2012,90042348252,5766292503,95808640755,2012,12,31/2012,31,2012-12-31,95.80864076,75488.06418,2012,0.13%
12/31/2011,87276915790,5308609594,92585525384,2011,12,31/2011,31,2011-12-31,92.58552538,73853.78405,2011,0.13%
12/31/2010,55620104510,4819344134,60439448644,2010,12,31/2010,31,2010-12-31,60.43944864,66596.05101,2010,0.09%
12/31/2009,37221142436,5079705286,42300847722,2009,12,31/2009,31,2009-12-31,42.30084772,60809.11183,2009,0.07%
12/31/2008,17514964723,3972372030,21487336753,2008,12,31/2008,31,2008-12-31,21.48733675,64123.70427,2008,0.03%
12/31/2007,6036146757,3796945581,9833092338,2007,12,31/2007,31,2007-12-31,9.833092338,58355.01509,2007,0.02%
12/31/2006,9822640239,3844020520,13666660759,2006,12,31/2006,31,2006-12-31,13.66666076,51779.84559,2006,0.03%
12/31/2005,28432143237,6282121668,34714264905,2005,12,31/2005,31,2005-12-31,34.71426491,47779.71479,2005,0.07%
12/31/2004,55373766674,6766029353,62139796027,2004,12,31/2004,31,2004-12-31,62.13979603,44117.60113,2004,0.14%
12/31/2003,65032062712,6880893268,71912955980,2003,12,31/2003,31,2003-12-31,71.91295598,39146.98839,2003,0.18%
12/31/2002,63601058794,6868671012,70469729806,2002,12,31/2002,31,2002-12-31,70.46972981,34911.42705,2002,0.20%
12/31/2001,53477225409,6424578684,59901804093,2001,12,31/2001,31,2001-12-31,59.90180409,33615.43597,2001,0.18%
12/31/2000,42990531049,6331595468,49322126517,2000,12,31/2000,31,2000-12-31,49.32212652,33830.8788,2000,0.15%
12/31/1999,51061861875,6434274362,57496136237,1999,12,31/1999,31,1999-12-31,57.49613624,32737.37497,1999,0.18%
12/31/1998,60451017051,6288825925,66739842976,1998,12,31/1998,31,1998-12-31,66.73984298,31539.9579,1998,0.21%
12/31/1997,46559033783,6009867422,52568901205,1997,12,31/1997,31,1997-12-31,52.56890121,31620.44366,1997,0.17%
12/31/1996,36127472805,5881609752,42009082557,1996,12,31/1996,31,1996-12-31,42.00908256,31736.66005,1996,0.13%
12/31/1995,35929173412,5657438528,41586611940,1995,12,31/1995,31,1995-12-31,41.58661194,31043.64788,1995,0.13%
12/31/1994,25611676952,4599768498,30211445450,1994,12,31/1994,31,1994-12-31,30.21144545,27872.25513,1994,0.11%
12/31/1993,25196745031,3942792899,29139537930,1993,12,31/1993,31,1993-12-31,29.13953793,25821.97892,1993,0.11%
12/31/1992,23967172718,3804463796,27771636514,1992,12,31/1992,31,1992-12-31,27.77163651,25406.10611,1992,0.11%
12/31/1991,23378573926,3285717796,26664291722,1991,12,31/1991,31,1991-12-31,26.66429172,23759.57245,1991,0.11%
12/31/1990,20731851093,2571911617,23303762710,1990,12,31/1990,31,1990-12-31,23.30376271,22779.97868,1990,0.10%
12/31/1989,22315104224,2334886562,24649990786,1989,12,31/1989,31,1989-12-31,24.64999079,20194.0038,1989,0.12%
12/31/1988,24750004884,1773964293,26523969177,1988,12,31/1988,31,1988-12-31,26.52396918,19337.99747,1988,0.14%
12/31/1987,28751979125,1866342930,30618322055,1987,12,31/1987,31,1987-12-31,30.61832206,17307.238,1987,0.18%
12/31/1986,33334905644,2013169931,35348075575,1986,12,31/1986,31,1986-12-31,35.34807558,15205.31553,1986,0.23%
12/31/1985,35194787249,2470247948,37665035197,1985,12,31/1985,31,1985-12-31,37.6650352,12860.09446,1985,0.29%
12/31/1984,34936772393,2769874900,37706647293,1984,12,31/1984,31,1984-12-31,37.70664729,12269.79237,1984,0.31%
,,,,,,,,,,,,
,,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,,
,,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,,
