quote_date,description,p_mean,p25,p_median,p75,iqr
31/01/2003,DRAUGHT BITTER (PER PINT),1.927183,1.78,1.95,2.1,0.32
31/03/2003,DRAUGHT BITTER (PER PINT),1.967465,1.8,2,2.15,0.35
31/05/2003,DRAUGHT BITTER (PER PINT),1.984826,1.81,2,2.19,0.38
31/07/2003,DRAUGHT BITTER (PER PINT),1.982743,1.8,2,2.2,0.4
31/08/2003,DRAUGHT BITTER (PER PINT),1.987276,1.8,2,2.2,0.4
31/10/2003,DRAUGHT BITTER (PER PINT),1.992524,1.81,2,2.2,0.39
31/12/2003,DRAUGHT BITTER (PER PINT),1.999924,1.82,2,2.2,0.38
31/01/2004,DRAUGHT BITTER (PER PINT),2.002602,1.82,2,2.2,0.38
31/03/2004,DRAUGHT BITTER (PER PINT),2.029489,1.86,2.05,2.2,0.34
31/05/2004,DRAUGHT BITTER (PER PINT),2.047821,1.86,2.05,2.25,0.39
31/07/2004,DRAUGHT BITTER (PER PINT),2.051169,1.88,2.05,2.25,0.37
31/08/2004,DRAUGHT BITTER (PER PINT),2.053052,1.88,2.05,2.25,0.37
31/10/2004,DRAUGHT BITTER (PER PINT),2.054781,1.88,2.06,2.25,0.37
31/12/2004,DRAUGHT BITTER (PER PINT),2.057233,1.86,2.065,2.3,0.44
31/01/2005,DRAUGHT BITTER (PER PINT),2.06179,1.88,2.1,2.3,0.42
31/03/2005,DRAUGHT BITTER (PER PINT),2.08685,1.9,2.1,2.3,0.4
31/05/2005,DRAUGHT BITTER (PER PINT),2.081354,1.9,2.1,2.3,0.4
31/07/2005,DRAUGHT BITTER (PER PINT),2.127752,1.95,2.15,2.3,0.35
31/08/2005,DRAUGHT BITTER (PER PINT),2.127356,1.92,2.135,2.3,0.38
31/10/2005,DRAUGHT BITTER (PER PINT),2.134198,1.95,2.15,2.35,0.4
31/12/2005,DRAUGHT BITTER (PER PINT),2.138472,1.95,2.15,2.35,0.4
31/01/2006,DRAUGHT BITTER (PER PINT),2.136775,1.95,2.15,2.35,0.4
31/03/2006,DRAUGHT BITTER (PER PINT),2.171824,1.995,2.2,2.4,0.41
31/05/2006,DRAUGHT BITTER (PER PINT),2.204342,2,2.2,2.4,0.4
31/07/2006,DRAUGHT BITTER (PER PINT),2.214971,2,2.2,2.45,0.45
31/08/2006,DRAUGHT BITTER (PER PINT),2.212031,2,2.2,2.4,0.4
31/10/2006,DRAUGHT BITTER (PER PINT),2.222027,2.02,2.2,2.45,0.43
31/12/2006,DRAUGHT BITTER (PER PINT),2.232395,2.03,2.25,2.45,0.42
31/01/2007,DRAUGHT BITTER (PER PINT),2.221074,2.03,2.25,2.45,0.42
31/03/2007,DRAUGHT BITTER (PER PINT),2.255039,2.05,2.3,2.5,0.45
31/05/2007,DRAUGHT BITTER (PER PINT),2.275781,2.095,2.3,2.5,0.41
31/07/2007,DRAUGHT BITTER (PER PINT),2.301219,2.1,2.3,2.5,0.4
31/08/2007,DRAUGHT BITTER (PER PINT),2.296692,2.1,2.3,2.5,0.4
31/10/2007,DRAUGHT BITTER (PER PINT),2.299942,2.1,2.34,2.5,0.4
31/12/2007,DRAUGHT BITTER (PER PINT),2.301612,2.1,2.35,2.55,0.45
31/01/2008,DRAUGHT BITTER (PER PINT),2.292027,2.1,2.35,2.55,0.45
