quote_date,description,p_mean,p25,p_median,p75,iqr
31/01/2003,SPIRIT + MIXER,2.6658619,2.35,2.62,2.9,0.55
31/03/2003,SPIRIT + MIXER,2.7175376,2.4,2.65,2.98,0.58
31/05/2003,SPIRIT + MIXER,2.7349592,2.45,2.65,3,0.55
31/07/2003,SPIRIT + MIXER,2.7493195,2.43,2.71,3,0.57
31/08/2003,SPIRIT + MIXER,2.750595,2.44,2.69,3,0.56
31/10/2003,SPIRIT + MIXER,2.7572985,2.47,2.71,3,0.53
31/12/2003,SPIRIT + MIXER,2.7783985,2.5,2.75,3.08,0.58
31/01/2004,SPIRIT + MIXER,2.7810676,2.48,2.75,3.08,0.6
31/03/2004,SPIRIT + MIXER,2.8180649,2.5,2.8,3.1,0.6
31/05/2004,SPIRIT + MIXER,2.829173,2.5,2.8,3.1,0.6
31/07/2004,SPIRIT + MIXER,2.837551,2.5,2.8,3.15,0.65
31/08/2004,SPIRIT + MIXER,2.848039,2.5,2.8,3.15,0.65
31/10/2004,SPIRIT + MIXER,2.859059,2.5,2.8,3.15,0.65
31/12/2004,SPIRIT + MIXER,2.863424,2.5,2.8,3.15,0.65
31/01/2005,SPIRIT + MIXER,2.861297,2.5,2.8,3.15,0.65
31/03/2005,SPIRIT + MIXER,2.888542,2.5,2.82,3.2,0.7
31/05/2005,SPIRIT + MIXER,2.856443,2.51,2.8,3.15,0.64
31/07/2005,SPIRIT + MIXER,2.901457,2.56,2.85,3.18,0.62
31/08/2005,SPIRIT + MIXER,2.904996,2.57,2.85,3.21,0.64
31/10/2005,SPIRIT + MIXER,2.907305,2.57,2.85,3.21,0.64
31/12/2005,SPIRIT + MIXER,2.908168,2.59,2.85,3.21,0.62
31/01/2006,SPIRIT + MIXER,2.919612,2.6,2.85,3.25,0.65
31/03/2006,SPIRIT + MIXER,2.944504,2.6,2.915,3.25,0.65
31/05/2006,SPIRIT + MIXER,2.981168,2.64,2.95,3.35,0.71
31/07/2006,SPIRIT + MIXER,2.992222,2.655,2.95,3.35,0.7
31/08/2006,SPIRIT + MIXER,2.998089,2.68,2.95,3.35,0.67
31/10/2006,SPIRIT + MIXER,3.016256,2.67,2.95,3.385,0.72
31/12/2006,SPIRIT + MIXER,3.022351,2.7,2.95,3.4,0.7
31/01/2007,SPIRIT + MIXER,3.011448,2.68,2.95,3.4,0.72
31/03/2007,SPIRIT + MIXER,3.03797,2.7,3,3.4,0.7
31/05/2007,SPIRIT + MIXER,3.059704,2.72,3.05,3.4,0.68
31/07/2007,SPIRIT + MIXER,3.081896,2.75,3.055,3.45,0.7
