DimensionReductionVariable1,DimensionReductionVariable2
318.56,21.49
303.10,-5.36
438.06,-6.54
733.24,0.19
-11.57,18.49
703.23,-0.33
542.97,-13.52
548.40,11.45
298.04,-8.18
298.05,-7.10
763.08,-8.33
532.94,-14.29
572.83,-21.01
402.93,-16.10
800.05,-12.12
563.25,2.21
533.38,10.80
383.32,8.48
933.12,-8.35
98.40,14.39
33.59,25.57
23.15,1.82
288.09,-3.96
267.98,-9.57
98.02,-5.50
83.50,22.89
447.93,-14.80
537.92,-15.39
168.21,4.26
288.01,-8.96
538.03,-8.21
768.09,-7.38
243.15,-0.14
488.60,23.57
348.23,4.04
173.08,-2.79
133.29,7.77
358.02,-8.16
273.04,-6.73
13.64,27.85
48.43,16.32
287.88,-14.89
348.10,-5.04
-66.81,4.38
138.23,4.73
333.26,5.32
318.11,-3.49
238.11,-3.05
313.12,-2.31
513.19,-0.86
402.94,-15.05
517.93,-15.00
443.27,3.26
628.29,4.04
313.40,12.61
373.33,9.66
223.42,14.22
523.07,-7.10
538.18,-1.36
-227.03,-7.99
-66.85,2.32
-296.82,5.47
-116.97,-3.73
-327.06,-6.95
-391.75,11.17
-68.91,-0.56
-245.21,-17.49
-237.24,-17.53
3.30,10.10
-27.97,51.63
123.13,1.06
-337.10,-7.62
-275.10,-7.75
238.72,35.25
139.09,-1.21
-318.88,2.81
-355.06,-7.53
-246.63,16.56
3.77,36.03
-283.84,6.36
-469.06,-5.46
-33.13,-13.19
-117.29,-19.58
-232.13,-10.53
-226.95,-1.78
-296.85,4.45
-252.05,-5.21
-185.11,-8.32
-67.18,-14.52
-122.43,-27.50
-267.19,-14.05
-297.10,-8.42
-252.21,-15.25
-457.02,-3.70
-401.85,5.33
191.18,58.79
-121.28,36.42
-319.09,-9.19
-87.08,-10.23
-341.04,-5.75
-36.93,-2.17
-185.07,-8.52
-308.88,3.75
-332.09,-7.88
-75.15,-13.41
-432.01,-2.03
-237.21,-15.56
-259.15,-11.08
-434.96,-0.06
-66.99,-4.57
-184.74,10.52
-422.04,-4.24
-139.82,5.74
-313.06,-6.17
-362.13,-9.26
-340.12,-8.69
-252.11,-9.28
-401.70,15.43
-375.17,-13.19
-183.10,-9.55
-121.95,-1.59
-281.54,24.51
-381.83,9.19
-367.09,-7.19
-367.16,-11.20
-369.10,-8.18
-395.08,-6.68
-281.03,-2.54
-405.06,-4.45
-167.24,-16.73
-116.47,24.27
-216.79,8.13
-186.92,1.71
-146.77,8.92
-97.13,-13.06
-51.98,-4.81
-27.10,-10.23
-231.95,0.53
-167.08,-8.76
-156.87,4.16
-146.95,-1.10
32.90,-11.31
-226.93,1.39
-197.00,-4.23
108.31,10.35
83.12,0.81
-332.20,-13.81
-122.13,-11.47
-97.02,-5.91
-196.63,16.87
-246.45,27.81
-266.63,17.15
-321.57,22.16
-71.90,-0.40
-106.82,5.21
-22.02,-6.23
-267.03,-5.92
133.00,-4.87
-86.91,0.08
-127.06,-8.29
-227.07,-7.62
-66.76,8.47
-176.77,9.47
-71.77,7.51
-132.05,-7.26
-227.08,-7.59
-51.69,12.36
-62.09,-10.55
3.18,5.39
-116.68,14.53
-236.92,0.46
-277.08,-8.74
-87.03,-7.10
-6.98,-4.54
3.13,2.34
88.46,18.78
93.46,18.67
-186.94,-0.21
